,RivLevel41_Well_6_Water_Level_m_Legacy,RivLevel41_Well_7_Water_Level_m_Legacy,RivLevel41_Well_5_Water_Level_m,RivLevel12_Well_1_WaterLevel_m_Legacy,RivLevel22_Well_3_Water_Level_m_Legacy,RivLevel22_Well_2_Water_Level_m_Legacy,RivLevel51_Well_16_Water_Level_m_Legacy,RivLevel51_Well_15_Water_Level_m_Legacy,RivLevel23_Well_14_Water_Level_m_Legacy,RivLevel32_Well_10_Water_Level_m_Legacy,RivLevel23_Well_13_WaterLevel_m_Legacy,RivLevel12_Well_12_WaterLevel_m_Legacy
2019-05-21,-5.452047460000001,-6.0342286099999995,-19.014527461999997,-3.425059607,-3.779156280000001,-10.979805744,-15.11963013,-20.394761969999998,-16.38831545,-12.60124072,-15.346267232,-3.924791981000001
2019-05-22,-5.418603279999999,-5.557208990000001,-18.866140916000003,-3.40097393,-3.71168118,-10.885927343999999,-12.95250594,-19.259420069999997,-15.614405389999998,-12.59302636,-15.126445091,-3.797117357
2019-05-23,-5.336753049999999,-5.37531959,-18.424648403,-3.495497744,-3.7380844800000013,-10.79961789,-13.98399486,-19.618211579999993,-16.02394991,-12.17233378,-15.276621194,-4.054109477
2019-05-24,-5.52216289,-5.7015470299999995,-18.841175129,-3.573328804999999,-3.75216624,-10.751065155,-15.339070890000006,-19.98639093,-16.724810839999996,-12.609161709999999,-15.420108461000002,-4.117624082000001
2019-05-25,-5.817879849999999,-6.282713000000001,-19.035503417,-3.651277214,-3.7999855499999997,-10.755553716000001,-15.799075049999999,-20.01338097,-17.22940724,-12.882289179999997,-15.592844717,-4.16849444
2019-05-26,-5.979526720000001,-6.6291829700000005,-19.216630055,-3.729665678000001,-3.9188004000000003,-10.793398446000001,-16.274041080000003,-20.03978427,-17.65303352,-13.037188539999999,-15.763879427,-4.274870402
2019-05-27,-6.1053824500000005,-6.87268007,-19.402743983,-3.771529577,-4.16053728,-10.835379692999998,-16.69590714,-20.14041018,-18.18256637,-13.17859288,-15.898477583000002,-4.429183021999998
2019-05-28,-6.197794,-6.952476710000001,-19.518830492,-3.7844671940000003,-4.294900739999999,-10.879385193000001,-16.97284842,-20.12808864,-19.09964099,-13.26425692,-16.053259594999997,-4.537495226
2019-05-29,-6.27201661,-7.011444080000002,-19.592935754000003,-3.796466027,-4.543971870000001,-10.918872795,-17.104278179999998,-20.112246660000004,-20.83257758,-13.331732019999997,-16.245974347999997,-4.603767509
2019-05-30,-6.3485861800000025,-7.074811999999999,-19.65507152,-3.809814362,-4.76546622,-10.95921117,-17.31110403,-20.121047760000003,-22.244860760000005,-13.407128109999995,-16.488738023,-4.643489807000002
2019-05-31,-6.461298934,-7.164289850000001,-19.711539377599998,-3.818234081,-5.31934878,-10.986670602000004,-17.404102320000007,-20.1421704,-23.114996179999995,-13.479003760000005,-16.951441187,-4.682713376000001
2019-06-01,-6.55922584,-7.227071029999998,-19.749712682000002,-3.826712474,-5.450778539999998,-11.012575173,-17.507368560000003,-20.14246377,-23.760996919999997,-13.53005014,-17.152986377,-4.717565732000001
2019-06-02,-6.734074359999999,-7.314201920000001,-19.813726016,-3.842026387999999,-5.529988439999999,-11.039418527999999,-17.701872869999995,-20.187056010000003,-24.209853019999997,-13.599578829999995,-17.326485395,-4.74496649
2019-06-03,-6.848782029999999,-7.384610719999999,-19.852392182000003,-3.8473950589999992,-5.593356360000001,-11.063064149999999,-17.991722430000003,-20.23340847,-24.626731790000008,-13.662066640000004,-17.398654414999996,-4.764680954
2019-06-04,-6.9722908,-7.450325599999999,-19.887303212,-3.8557854410000014,-5.63442816,-11.087267175000001,-18.2648499,-20.268906240000003,-25.08761606,-13.71868705,-17.44544693,-4.776943820000001
2019-06-05,-7.095506199999999,-7.524254840000001,-19.933538324,-3.8616528409999997,-5.661418199999999,-11.107744400999998,-18.53328345,-20.30176368,-25.376585510000005,-13.774427350000003,-17.490039169999996,-4.788150554
2019-06-06,-7.183223830000001,-7.5846890600000005,-19.963256705,-3.8681069809999995,-5.746788869999998,-11.128309638000001,-18.749203769999998,-20.342248740000002,-25.586345059999996,-13.819019590000003,-17.510135014999996,-4.800882812000001
2019-06-07,-7.276808860000001,-7.666832659999999,-20.014244411,-3.873974380999999,-5.80340928,-11.148258798,-18.945468299999995,-20.39094816,-25.77146153,-13.872999669999995,-17.520931031,-4.815257941999999
2019-06-08,-7.355432020000001,-7.775672929999999,-20.036511194,-3.8723315090000012,-5.852695439999999,-11.167562543999999,-19.081005240000007,-20.41676472,-25.861232749999996,-13.909377549999999,-17.535775553,-4.82358965
2019-06-09,-7.4369888799999995,-7.8815795,-20.059775435,-3.875147861000001,-5.866190460000001,-11.185223418,-19.20715434,-20.45196912,-25.966552580000005,-13.943701839999996,-17.539677374000007,-4.838874227
2019-06-10,-7.50475735,-7.975457899999998,-20.085914702000004,-3.881748686000001,-5.89494072,-11.204380479000001,-19.320981900000003,-20.48893374,-26.08976798,-13.98477364,-17.545750133,-4.852486595
2019-06-11,-7.555040967999999,-8.05202747,-20.108181485,-3.883039514000002,-5.91606336,-11.222246712,-19.417207260000005,-20.515337039999995,-26.200075099999996,-14.01792445,-17.550561401000003,-4.861933109000001
2019-06-12,-7.622252035,-8.124783229999998,-20.127866612000002,-3.888496196000001,-5.943640140000001,-11.23996626,-19.450944810000003,-20.536459680000004,-26.25786899,-14.047261449999999,-17.55458057,-4.869062
2019-06-13,-7.682598243999998,-8.21044727,-20.150045384,-3.89471564,-5.948040690000003,-11.257509786,-19.47177408,-20.56931712,-26.32505072,-14.07982552,-17.552409631999996,-4.8795353089999995
2019-06-14,-7.736372965,-8.31077981,-20.170199903000004,-3.89735597,-5.965349520000001,-11.274994637999999,-19.512845879999993,-20.60686848,-26.395899575,-14.125591240000002,-17.545632784999995,-4.886458841
2019-06-15,-7.782784099000001,-8.40847202,-20.185601828000003,-3.901521823999999,-5.986472159999999,-11.290748607000005,-19.56389226,-20.64412647,-26.460206279,-14.176930989999999,-17.544429968,-4.894966571
2019-06-16,-7.825146727,-8.50000346,-20.190589118,-3.905394308000001,-6.0005539200000015,-11.307529371000001,-19.577387280000003,-20.6702364,-26.509463101999998,-14.225043669999998,-17.544312619999996,-4.903650323000001
2019-06-17,-7.879948242999999,-8.602096219999996,-20.193581492,-3.911936459,-6.02871744,-11.325512952,-19.584428160000005,-20.71189494,-26.567843732000007,-14.276383420000002,-17.544312619999996,-4.913448881
2019-06-18,-7.934016334000003,-8.708296160000002,-20.210919659,-3.9168357380000014,-6.0712560899999986,-11.343848577,-19.59850992,-20.76176784,-26.628483311000004,-14.33799112,-17.544253945999998,-4.924714289
2019-06-19,-7.978227193,-8.7998276,-20.227964456000002,-3.9186839689999995,-6.09208536,-11.361568124999998,-19.611124830000005,-20.79697224,-26.67034721,-14.38082314,-17.544224608999997,-4.933339367
2019-06-20,-8.019563026,-8.900746880000003,-20.247414887,-3.9232312040000004,-6.08739144,-11.378788944,-19.616405490000005,-20.82513576,-26.70261791,-14.422481680000002,-17.544136597999998,-4.9424045
2019-06-21,-8.066971618,-9.05388602,-20.269534984999996,-3.9300080510000006,-6.10470027,-11.394366891,-19.62667344,-20.86738104,-26.733069716000006,-14.477635239999998,-17.544077923999993,-4.953669908
2019-06-22,-8.105901817,-9.171527389999998,-20.293121933000002,-3.9344672750000003,-6.12582291,-11.410502241000001,-19.6407552,-20.90962632,-26.781769136,-14.524574439999999,-17.544077924,-4.960241396
2019-06-23,-8.125968324999999,-9.264525680000002,-20.330761304,-3.953213617999999,-6.16278753,-11.425757481000002,-19.653663480000006,-20.955685410000008,-26.882952449,-14.563299279999995,-17.544019249999998,-4.965874099999999
2019-06-24,-8.149144555000001,-9.341975359999998,-20.350065049999998,-3.955677926,-6.23436981,-11.441188743000001,-19.6612911,-20.98062186,-26.912172101000007,-14.592636279999997,-17.544019249999998,-4.974821885000001
2019-06-25,-8.185757130999999,-9.40651676,-20.364293495,-3.9613693039999998,-6.362865869999999,-11.457118733999998,-19.668918719999994,-21.0222804,-26.955092132,-14.626667199999995,-17.543901901999998,-4.98288956
2019-06-26,-8.224423297000001,-9.487486879999999,-20.388555194,-3.9622200770000005,-6.46495863,-11.472256626,-19.69004136,-21.071566560000004,-27.001209896,-14.668912479999998,-17.543872565,-4.992776128999999
2019-06-27,-8.253906981999998,-9.567283520000002,-20.411614076,-3.963980297,-6.502509990000002,-11.486455734,-19.704123119999995,-21.113518470000002,-27.044716666999996,-14.71497157,-17.543843228,-5.001899935999999
2019-06-28,-8.284945528,-9.630064699999997,-20.416366669999988,-3.9622200770000005,-6.55678344,-11.500977548999998,-19.711164,-21.13992177,-27.084996368,-14.742548350000002,-17.543755217,-5.004246896
2019-06-29,-8.298675244,-9.665855840000004,-20.422967495,-3.96248411,-6.5649978,-11.516702181,-19.725245760000004,-21.17131236,-27.118088504,-14.773058830000002,-17.543784554000002,-5.009556892999999
2019-06-30,-8.318096338,-9.713381779999999,-20.434056881000004,-3.9640389710000004,-6.5914011000000015,-11.530813278,-19.732286640000005,-21.204169799999995,-27.151855390999998,-14.79564832,-17.543696543000003,-5.014544183
2019-07-01,-8.348372122,-9.762667939999996,-20.450338916,-3.9678527809999995,-6.613110480000002,-11.54360421,-19.743434699999998,-21.240547679999995,-27.182629904000002,-14.823811839999998,-17.543667206000002,-5.023022576000001
2019-07-02,-8.368409293000001,-9.801979519999996,-20.466034211000004,-3.968028803,-6.62777898,-11.557568622000002,-19.75164906,-21.263137170000004,-27.212670992,-14.842294150000004,-17.543608532,-5.030386162999999
2019-07-03,-8.384515306,-9.834836960000002,-20.478209066000005,-3.9683221730000007,-6.641274,-11.579131316999998,-19.75604961,-21.28983384,-27.244325615,-14.858722869999998,-17.543549858000002,-5.034464006
2019-07-04,-8.411123965,-9.877082239999998,-20.490706628000005,-3.974717639,-6.6694375200000025,-11.604977214,-19.767491040000003,-21.32503824,-27.276889685,-14.880138880000002,-17.543549858000002,-5.039040578
2019-07-05,-8.437615276,-9.919327519999998,-20.505609824000004,-3.9812011160000007,-6.70464192,-11.628534825,-19.7815728,-21.36581667,-27.314587730000007,-14.908302399999998,-17.543549858000002,-5.043969194
2019-07-06,-8.454865432,-9.94866452,-20.519222192,-3.9782674160000018,-6.725764560000001,-11.651065641000002,-19.78861368,-21.388406159999988,-27.342692576000005,-14.922384160000005,-17.543549858000002,-5.049572561
2019-07-07,-8.46437062,-9.97565456,-20.544099968,-4.000739558,-6.788545740000001,-11.67415386,-19.79272086,-21.430651439999995,-27.377310236,-14.943506799999994,-17.543491184,-5.050687367000001
2019-07-08,-8.491507344999999,-10.03110149,-20.552079632,-3.9922905019999995,-6.788252370000002,-11.696039261999998,-19.802695440000004,-21.457934850000008,-27.401923979,-14.96462944,-17.543432510000002,-5.059635151999999
2019-07-09,-8.514478216,-10.087428529999997,-20.571940781000002,-3.996133648999999,-6.803214240000003,-11.715372345,-19.816777199999994,-21.491965770000007,-27.436805672,-14.991619479999999,-17.543315162,-5.068348241000001
2019-07-10,-8.537097043,-10.13055392,-20.583000829999996,-3.996045638000001,-6.826419807,-11.733619959,-19.83085896,-21.528637020000005,-27.468988361,-15.020663109999997,-17.543285824999998,-5.076855971
2019-07-11,-8.543052454000001,-10.152263300000001,-20.592153974,-3.993640004000001,-6.825715719,-11.752248953999999,-19.83789984,-21.55063977,-27.49735724,-15.038265310000003,-17.543315162000003,-5.0762692309999995
2019-07-12,-8.550240019,-10.158717440000002,-20.60177651,-3.9938160259999993,-6.8399735009999985,-11.770056513,-19.841713650000003,-21.57146904000001,-27.52053347,-15.049120000000007,-17.543315161999995,-5.077325362999999
2019-07-13,-8.571656029,-10.18922792,-20.611868438000002,-3.9995074039999996,-6.867843651000001,-11.788157442000001,-19.851981600000002,-21.603739740000005,-27.545323234999998,-15.06320176,-17.543315162000003,-5.082400664
2019-07-14,-8.603838717999999,-10.23088646,-20.624101967,-4.0151733620000005,-6.911614454999999,-11.806375718999996,-19.86606336,-21.644224800000003,-27.580556972000004,-15.084324400000005,-17.543227151,-5.088942815000001
2019-07-15,-8.613079873,-10.29777482,-20.631524228,-4.014968003,-6.951190068000001,-11.822921786999999,-19.877211420000005,-21.67004136,-27.60704828299999,-15.10544704,-17.543197814000006,-5.094106127
2019-07-16,-8.621206221999998,-10.320657679999998,-20.637538313,-4.012709054000002,-6.958935036000001,-11.836094099999997,-19.880145120000005,-21.691164000000004,-27.620484629,-15.116888470000003,-17.543051129,-5.096013032000002
2019-07-17,-8.646318693999998,-10.36290296,-20.649771842,-4.017667007,-6.976742595000001,-11.848210281,-19.89334677,-21.72226122,-27.61969253000001,-15.126569679999998,-17.542992454999997,-5.101147007000001
2019-07-18,-8.655618523,-10.41189575,-20.657634157999993,-4.022184905,-7.001356337999999,-11.860297125,-19.90038765,-21.74749104,-27.616230764,-15.14065144,-17.543021792,-5.104960816999999
2019-07-19,-8.67530365,-10.43331176,-20.670659786,-4.024326506,-7.050847857000001,-11.871327836999999,-19.90830864,-21.776241300000002,-27.615409328000002,-15.148865800000003,-17.542963118,-5.107249103000001
2019-07-20,-8.693404579,-10.47555704,-20.681807846,-4.028609707999999,-7.103478435,-11.883708051,-19.922390399999994,-21.81085895999999,-27.611712865999998,-15.167934849999998,-17.542875107,-5.115052745
2019-07-21,-8.712062911,-10.559460859999998,-20.695830932,-4.02673214,-7.150446971999999,-11.896322961,-19.92943128,-21.84606335999999,-27.560109083,-15.180549760000002,-17.542904443999998,-5.120538763999999
2019-07-22,-8.730163840000001,-10.69323758,-20.700612863000003,-4.031660756,-7.165672875,-11.910668753999998,-19.94351304,-21.874226880000005,-27.599391326000003,-15.196978480000006,-17.542845769999996,-5.126934229999999
2019-07-23,-8.742808087,-10.790929789999998,-20.707536394999998,-4.0374694820000006,-7.196652747000001,-11.926540071000002,-19.957301430000005,-21.9082578,-27.567413996000003,-15.211060239999995,-17.542728421999993,-5.133417707000001
2019-07-24,-8.754014820999998,-10.86280544,-20.711614238000003,-4.044598373000001,-7.230155601,-11.942998128,-19.964635680000004,-21.93055392,-27.598599226999998,-15.225435370000005,-17.542757758999997,-5.1401358800000025
2019-07-25,-8.782911765999998,-10.89800984,-20.723583734,-4.0480308019999995,-7.253067798,-11.962448558999998,-19.971676559999995,-21.958424069999996,-27.571785209000005,-15.237463539999995,-17.542728421999993,-5.144917810999999
2019-07-26,-8.820345778000002,-10.942602079999999,-20.733910358000003,-4.059384221,-7.289973744000001,-11.981840315999996,-19.98575832,-21.993921839999995,-27.560578475,-15.25330552,-17.542611073999993,-5.15157731
2019-07-27,-8.841263059,-10.996376801,-20.743356872,-4.071441728,-7.332043001999999,-11.985096723,-19.99984008,-22.02208536,-27.574953605,-15.26797402,-17.542669747999998,-5.157972776000001
2019-07-28,-8.851413660999999,-11.021459936,-20.748520184,-4.069769519,-7.382267946,-11.986328877,-20.00688096,-22.04350137,-27.563365490000002,-15.281469039999998,-17.542493725999993,-5.159527637
2019-07-29,-8.874267184,-11.040352963999997,-20.758670786000003,-4.073906036,-7.438565648999999,-11.987208986999999,-20.01392184,-22.07342511,-27.573222722,-15.294377319999999,-17.541965659999995,-5.164280231
2019-07-30,-8.894304355000001,-11.068575157999998,-20.76489023,-4.074903494,-7.482160430999999,-11.987707715999996,-20.02242957,-22.09953504000001,-27.580058242999996,-15.302591680000004,-17.541848311999992,-5.168035367000001
2019-07-31,-8.921675775999999,-11.106654584,-20.775304865000003,-4.083968626999999,-7.506304781999999,-11.988265119,-20.035044480000003,-22.1341527,-27.586131002,-15.323420949999996,-17.541789637999994,-5.174020115000001
2019-08-01,-8.945849464000002,-11.141946995,-20.787215687,-4.095351383000001,-7.540511724,-11.988705174000003,-20.049712979999995,-22.16906373,-27.590971607,-15.342196630000002,-17.541672289999998,-5.179095416
2019-08-02,-8.960987356,-11.190529067,-20.797600985,-4.096671548,-7.586952195,-11.98893987,-20.063208,-22.19634714,-27.5906489,-15.365959599999998,-17.541613616,-5.181794419999999
2019-08-03,-8.961896802999998,-11.193785474000004,-20.801942861,-4.096612874,-7.596340034999999,-11.989321251,-20.068488660000003,-22.21218912,-27.591587684,-15.387082240000005,-17.541672289999998,-5.180562266000001
2019-08-04,-8.992084576,-11.213939992999999,-20.814469759999994,-4.105355299999999,-7.6078401389999994,-11.989467936,-20.07728976,-22.242406229999993,-27.575892388999996,-15.401163999999996,-17.541554941999998,-5.182674529999999
2019-08-05,-9.023709862,-11.256977372,-20.826145886,-4.1165326969999985,-7.624914273,-11.989849317000001,-20.089904669999996,-22.26851615999999,-27.58888868,-15.42228664,-17.541496268,-5.187368449999999
2019-08-06,-9.039845212,-11.292739174999998,-20.834389583,-4.131641252,-7.6592972370000005,-11.989907990999999,-20.098412399999994,-22.293159240000005,-27.731173129999995,-15.44340928,-17.54137892,-5.190830216000001
2019-08-07,-9.067627351000002,-11.342670749,-20.846388416,-4.1414691470000005,-7.683852306,-11.989996001999998,-20.112200790000003,-22.32425646,-27.737157877999998,-15.464238550000005,-17.541261572,-5.194262645
2019-08-08,-9.089747449,-11.375410841,-20.854808135,-4.1400903079999996,-7.686874016999999,-11.990172024000001,-20.120121779999995,-22.35300672,-27.750711572,-15.48565456,-17.541173561,-5.197372367
2019-08-09,-9.092534464,-11.390695418,-20.854896145999998,-4.143522737,-7.69799274,-11.990289372000001,-20.13273669,-22.375596210000005,-27.714597724999997,-15.506777199999995,-17.541144224000007,-5.199895349
2019-08-10,,,,-4.143816107,-7.70209992,-11.990318709,-20.1424179,-22.408747020000003,-27.724454957000006,-15.527899840000002,-17.541114887000006,-5.202565016
2019-08-11,,,,-4.139914286000001,-7.714685493,-11.990436057,-20.154739440000004,-22.43749728,-27.693827129,-15.554889879999998,-17.541026876,-5.2066721959999995
2019-08-12,-9.197678272000001,-11.505109717999995,-20.882648948,-4.156548365,-7.692389373,-11.990553405,-20.161780319999995,-22.45861991999999,-27.614089163000003,-15.577186000000005,-17.540968202000002,-5.209488548
2019-08-13,-9.218742238,-11.52875534,-20.891009993000004,-4.169720677999999,-7.692888102,-11.990729427000002,-20.17498197,-22.48678344000001,-27.629784457999996,-15.59830864,-17.541026876000004,-5.2121582150000005
2019-08-14,-9.236989852,-11.556097424000004,-20.899488385999998,-4.187234867000001,-7.7396219429999995,-11.990729427000002,-20.182902960000003,-22.511426520000004,-27.641665943,-15.612683770000004,-17.540968202000002,-5.217057494000001
2019-08-15,-9.251834374,-11.571499349,-20.904417002000002,-4.19395304,-7.795244895,-11.987678379000002,-20.19698472,-22.534602749999998,-27.490228349000002,-15.63028597,-17.540381462000006,-5.213361031999999
2019-08-16,-9.263598511,-11.589394919,-20.912895395,-4.1799006169999995,-7.826518137000001,-11.987707716,-20.200211789999997,-22.55015136,-27.502931270000005,-15.64114066,-17.540557484000004,-5.2101632989999995
2019-08-17,-9.262014313000002,-11.603241983,-20.91685589,-4.184330504,-7.850750499,-11.988118434,-20.2040256,-22.571273999999992,-27.527368991000003,-15.654635680000005,-17.540616158000006,-5.212363574
2019-08-18,-9.31719721,-11.637067544,-20.926947818,-4.197796186999999,-7.8909715259999995,-11.988030423,-20.21810736,-22.59943752000001,-27.547112792,-15.668717439999995,-17.540381462000006,-5.216734787
2019-08-19,-9.350494705000003,-11.683302656,-20.927769253999994,-4.208797561999999,-7.945127628,-11.988118434,-20.231602379999998,-22.62760104,-27.544560472999997,-15.693653889999998,-17.540322788,-5.222514175999999
2019-08-20,-9.37000381,-11.745203726,-20.938477259000003,-4.218185402000001,-7.995968649,-11.988206445000001,-20.23923,-22.65664467,-27.505336904,-15.72504448,-17.540205440000005,-5.226826715
2019-08-21,-9.381503914,-11.768086586,-20.944168637,-4.218273413,-8.008612896,-11.988118434,-20.24627088,-22.683047969999997,-27.521794961000005,-15.760248880000004,-17.540234777000002,-5.229203011999999
2019-08-22,-9.367715523999998,-11.746054499,-20.945459465,-4.207858778,-7.994648484000001,-11.98805976,-20.24627088,-22.69096896,-27.545029865,-15.779611299999996,-17.54014676600001,-5.226768041
2019-08-23,-9.405648265,-11.758493386999998,-20.956490177,-4.220268329000001,-7.977486339,-11.988001085999999,-20.25331176,-22.716785519999995,-27.550046492000007,-15.795453280000002,-17.540058755000004,-5.2310219060000005
2019-08-24,-9.455139784,-11.813441588000003,-20.967931607,-4.237547822,-8.001806712000002,-11.988001086,-20.267980259999995,-22.747560033,-27.553185551000002,-15.826257129999998,-17.539970744000005,-5.240439083000001
2019-08-25,-9.483567337,-11.862199682000005,-20.976321989000002,-4.243913951,-8.035690946999997,-11.987942412,-20.28147528,-22.772408471999995,-27.55309754,-15.86586208,-17.53991207,-5.242786043000001
2019-08-26,-9.487263799,-11.872761001999999,-20.980869224,-4.241977708999999,-8.049596685000001,-11.987942411999999,-20.282942129999995,-22.789042551,-27.552070745,-15.894025599999996,-17.53991207,-5.241436541000001
2019-08-27,-9.501932299,-11.879068457000002,-20.987763419,-4.251541570999999,-8.062534302,-11.987766390000003,-20.28851616,-22.806732761999996,-27.553302899000002,-15.915734980000005,-17.539824058999997,-5.243871512
2019-08-28,-9.540422443,-11.927709203,-20.996124463999998,-4.266298082,-8.098413453,-11.987883737999999,-20.302597920000004,-22.83589374,-27.55356693199999,-15.94624546,-17.539648037,-5.250531011
